Date,Close/Last,Volume,Open,High,Low
10/14/2024,$219.16 ,86291920,$220.13 ,$221.91 ,$213.74 
10/11/2024,$217.80 ,142628900,$220.13 ,$223.34 ,$214.38 
10/10/2024,$238.77 ,83087060,$241.81 ,$242.79 ,$232.34 
10/9/2024,$241.05 ,66289530,$243.82 ,$247.43 ,$239.51 
10/8/2024,$244.50 ,56303160,$243.56 ,$246.21 ,$240.56 
10/7/2024,$240.83 ,68113270,$249.00 ,$249.83 ,$240.70 
10/4/2024,$250.08 ,86726290,$246.69 ,$250.96 ,$244.58 
10/3/2024,$240.66 ,80729240,$244.48 ,$249.79 ,$237.81 
10/2/2024,$249.02 ,93983930,$247.55 ,$251.16 ,$241.50 
10/1/2024,$258.02 ,87397610,$262.67 ,$263.98 ,$248.53 
9/30/2024,$261.63 ,80873380,$259.04 ,$264.86 ,$255.77 
9/27/2024,$260.46 ,70988070,$257.38 ,$260.70 ,$254.12 
9/26/2024,$254.22 ,67142190,$260.60 ,$261.75 ,$251.53 
9/25/2024,$257.02 ,65034320,$252.54 ,$257.05 ,$252.28 
9/24/2024,$254.27 ,88491000,$254.08 ,$257.19 ,$249.05 
9/23/2024,$250.00 ,86927190,$242.61 ,$250.00 ,$241.92 
9/20/2024,$238.25 ,99879070,$241.52 ,$243.99 ,$235.92 
9/19/2024,$243.92 ,102694600,$234.00 ,$244.24 ,$232.13 
9/18/2024,$227.20 ,78010200,$230.09 ,$235.68 ,$226.88 
9/17/2024,$227.87 ,66761640,$229.45 ,$234.57 ,$226.55 
9/16/2024,$226.78 ,54323000,$229.30 ,$229.96 ,$223.53 
